,Home,Away,HW,D,AW,outcome,B365H,B365D,B365A,predicted_outcome,predicted_percent,payouts,total_payouts
0,9,0,0.3617802430771401,0.26204976372185,0.3952923357641387,0,4.0,3.4,1.9,2,0.3952923357641387,-50.0,950.0
1,16,9,0.2822483677480174,0.27216838443192715,0.4649317462980819,1,2.55,3.1,2.88,2,0.4649317462980819,-50.0,900.0
2,1,9,0.4827447763549207,0.2637639943168332,0.2726081098213717,1,2.0,3.4,3.7,0,0.4827447763549207,-50.0,850.0
3,9,10,0.3971396597482895,0.27597031003139383,0.346365630786436,2,2.75,3.1,2.7,0,0.3971396597482895,-50.0,800.0
4,49,9,0.4656787504856193,0.2726540749143334,0.2810254678000482,2,1.91,3.1,4.6,0,0.4656787504856193,-50.0,750.0
5,9,25,0.15691877856477135,0.20306335421790717,0.6549648101278058,1,7.0,4.2,1.47,2,0.6549648101278058,-50.0,700.0
6,46,9,0.5585014131149654,0.23120901086866336,0.22760649886820286,2,1.8,3.4,4.75,0,0.5585014131149654,-50.0,650.0
7,9,14,0.21241319727172026,0.22632823470326516,0.578207083622556,2,6.5,3.6,1.6,2,0.578207083622556,80.0,680.0
8,9,24,0.38089465946310036,0.25252565417574996,0.3853089013236486,2,2.6,3.4,2.62,2,0.3853089013236486,131.0,761.0
9,11,9,0.35021941649045496,0.26429691228285007,0.40467452250229646,0,2.6,3.2,2.75,2,0.40467452250229646,-50.0,711.0
10,9,30,0.5666230658010779,0.24353959545836443,0.208135728689838,2,1.61,3.7,5.8,0,0.5666230658010779,-50.0,661.0
11,29,9,0.381755187995358,0.2582145171693211,0.3790147213400747,1,2.6,3.3,2.7,0,0.381755187995358,-50.0,611.0
12,9,18,0.3930374562166115,0.2516911619633644,0.37395702870540526,0,2.25,3.1,3.4,0,0.3930374562166115,112.5,673.5
13,43,9,0.5023371313111601,0.2468525046710032,0.26919543080961844,0,1.63,4.0,5.0,0,0.5023371313111601,81.5,705.0
14,23,9,0.4831752487907462,0.25601345652741714,0.279653608365966,1,1.95,3.4,3.9,0,0.4831752487907462,-50.0,655.0
15,9,44,0.41273734029698,0.2508748803942426,0.3550253228755351,0,2.2,3.2,3.4,0,0.41273734029698,110.00000000000001,715.0
16,10,9,0.4528055096098712,0.2596128349473431,0.3065846765469811,0,1.95,3.4,4.0,0,0.4528055096098712,97.5,762.5
17,9,26,0.08828823363345212,0.14777922836954052,0.769679170831698,2,17.0,7.5,1.15,2,0.769679170831698,57.49999999999999,770.0
18,9,1,0.3390080482309631,0.2647702173582758,0.41542143766476,0,2.9,3.25,2.45,2,0.41542143766476,-50.0,720.0
19,38,9,0.42274318199425887,0.2617760673490395,0.3345813588478027,0,2.05,3.25,3.8,0,0.42274318199425887,102.49999999999999,772.5
20,25,9,0.7616504589144945,0.1583641880852136,0.08963188382775514,0,1.27,5.5,11.0,0,0.7616504589144945,63.5,786.0
21,9,27,0.22118936130715672,0.23393705120557778,0.5624675547028137,2,4.4,3.5,1.83,2,0.5624675547028137,91.5,827.5
22,9,49,0.30610152665968204,0.27007995692955816,0.4431390995236193,2,3.0,3.0,2.55,2,0.4431390995236193,127.49999999999999,905.0
23,26,9,0.829448418583318,0.12016169834811262,0.05304363139389939,0,1.1,9.0,23.0,0,0.829448418583318,55.00000000000001,910.0
24,9,16,0.3244964362076892,0.26010175944273867,0.43443635702311684,1,2.62,3.0,2.9,2,0.43443635702311684,-50.0,860.0
25,0,9,0.7134066024292656,0.18433480533069746,0.11584021333181657,0,1.44,4.2,7.5,0,0.7134066024292656,72.0,882.0
26,9,29,0.32858404063587743,0.2666979701016321,0.42396729124409727,2,2.5,3.1,3.0,2,0.42396729124409727,150.0,982.0
27,30,9,0.3749457949334411,0.2700851944480116,0.3743233898933883,2,2.88,3.1,2.55,0,0.3749457949334411,-50.0,932.0
28,9,11,0.35228841672356725,0.2743971409782324,0.3927609548409356,0,2.15,3.2,3.5,2,0.3927609548409356,-50.0,882.0
29,24,9,0.49440941008870637,0.2546231338743249,0.26974630168368086,0,2.15,3.3,3.4,0,0.49440941008870637,107.5,939.5
30,14,9,0.7741973442141918,0.16445110602741478,0.07444203451391866,2,1.33,4.75,10.0,0,0.7741973442141918,-50.0,889.5
31,9,46,0.3492860132338695,0.25541081344661043,0.41416220973557155,0,2.7,3.25,2.62,2,0.41416220973557155,-50.0,839.5
32,44,9,0.26635754949087226,0.25441513218180445,0.4979961943287379,2,2.8,3.2,2.55,2,0.4979961943287379,127.49999999999999,917.0
33,9,43,0.2487346797409823,0.23205608029894476,0.5364950763660286,1,4.2,3.5,1.85,2,0.5364950763660286,-50.0,867.0
34,27,9,0.45102996141468316,0.24999590125186585,0.3175464734418408,0,1.73,3.75,4.6,0,0.45102996141468316,86.5,903.5
35,9,38,0.5179242561002718,0.24864744979234144,0.25192261480409583,0,2.05,3.6,3.4,0,0.5179242561002718,102.49999999999999,956.0
36,18,9,0.37107366885092125,0.26486950969163225,0.3832706109377267,2,2.1,3.4,3.4,2,0.3832706109377267,170.0,1076.0
37,9,23,0.5337138790710997,0.24362190409001047,0.24088486474578738,2,2.4,3.6,2.75,0,0.5337138790710997,-50.0,1026.0
38,27,23,0.7596963014265582,0.14756448375634806,0.09636258412970507,0,1.52,4.33,5.8,0,0.7596963014265582,76.0,1052.0
39,38,27,0.08192409745288018,0.1416303777295536,0.7807801657321967,1,5.5,4.0,1.6,2,0.7807801657321967,-50.0,1002.0
40,49,27,0.15632311785870123,0.20203893676026752,0.6564355124686432,2,5.0,3.4,1.78,2,0.6564355124686432,89.0,1041.0
41,27,29,0.737961603749781,0.16475525286771212,0.10658524867703485,0,1.2,6.5,15.0,0,0.737961603749781,60.0,1051.0
42,46,27,0.34017891064647904,0.23327800310282332,0.44374737341694426,2,4.6,3.7,1.75,2,0.44374737341694426,87.5,1088.5
43,27,1,0.6211996626381331,0.21039076611565288,0.18374403190789432,2,1.38,4.75,8.0,0,0.6211996626381331,-50.0,1038.5
44,27,18,0.5354125003532407,0.2283175675191448,0.25313044129836587,1,1.47,4.2,7.0,0,0.5354125003532407,-50.0,988.5
45,24,27,0.2448499018165944,0.22653220936274548,0.5453195324446416,0,3.5,3.5,2.05,2,0.5453195324446416,-50.0,938.5
46,27,25,0.2813504368738705,0.21703319061378776,0.5164720417543627,2,3.0,3.5,2.25,2,0.5164720417543627,112.5,1001.0
47,43,27,0.3534700613551563,0.2406174721447291,0.42384744859148055,2,2.87,3.5,2.35,2,0.42384744859148055,117.5,1068.5
48,27,26,0.3108014292419217,0.22703258406532623,0.47860122825158463,2,4.6,3.9,1.7,2,0.47860122825158463,85.0,1103.5
49,44,27,0.256545341388426,0.23145568134017713,0.5291887858347846,0,6.0,4.33,1.5,2,0.5291887858347846,-50.0,1053.5
50,14,27,0.6470700585663959,0.1937458131827093,0.17151523953656694,1,1.57,4.0,5.8,0,0.6470700585663959,-50.0,1003.5
51,27,0,0.3764747574221906,0.23917122529484486,0.40216190078282305,0,1.95,3.6,3.7,2,0.40216190078282305,-50.0,953.5
52,27,16,0.483839208928466,0.23559076226332112,0.2980671507115897,0,1.55,4.0,6.0,0,0.483839208928466,77.5,981.0
53,30,27,0.21794861126940995,0.22941034408427616,0.5698525844499972,2,7.0,4.4,1.44,2,0.5698525844499972,72.0,1003.0
54,29,27,0.1930366672875113,0.22053981388218769,0.6029605022236053,1,6.5,4.4,1.47,2,0.6029605022236053,-50.0,953.0
55,27,11,0.5716291057881744,0.23234332179510991,0.21353400661885055,0,1.36,4.75,8.5,0,0.5716291057881744,68.0,971.0
56,27,49,0.5976164126657725,0.22878564303984908,0.19097956827908144,2,1.55,3.9,6.5,0,0.5976164126657725,-50.0,921.0
57,1,27,0.2893230090691263,0.24564120267287248,0.48334139301810464,1,2.9,3.4,2.35,2,0.48334139301810464,-50.0,871.0
58,27,46,0.4538296008457332,0.23753016250890938,0.3263008928730513,0,1.91,3.7,3.75,0,0.4538296008457332,95.5,916.5
59,11,27,0.18969382565832074,0.23105738760698294,0.5968262862207894,1,5.8,3.9,1.6,2,0.5968262862207894,-50.0,866.5
60,27,38,0.5876896250126988,0.22069527030074002,0.20796383230949905,1,1.6,4.2,5.25,0,0.5876896250126988,-50.0,816.5
61,27,10,0.5259140956910829,0.23948065404952668,0.2525201440223591,0,1.72,3.7,4.75,0,0.5259140956910829,86.0,852.5
62,23,27,0.21643032667454767,0.2220866789009993,0.5779009327691853,2,3.9,3.75,1.85,2,0.5779009327691853,92.5,895.0
